Condition,HNRNPM,RPS13,IKZF1,LSM6,CTDP1,CCNE2,DEFA1,ITGA2,EFNB3,FABP7,TRO,MAP3K8,STAT5B,ZBTB48,RAD51,FOXN3,ARL4A,VIPR1,TGFA,IFT27,SLC38A2,FGFBP1,ORM2,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM1,ADORA2A,SLC26A1,AMMECR1,GPC4,GIT2,SLC22A18,CLOCK,SH3BGR,CLASRP,DDX10,EMP2
SCC,9.53935,12.68359,4.23833,8.83477,6.79963,7.87585,4.65923,8.51285,3.60445,3.18482,4.61726,6.73866,5.54664,7.09035,5.62407,6.63904,10.51241,7.39366,6.15153,7.52702,11.43057,7.88161,2.2435,5.32075,8.16147,5.46261,9.04612,6.88559,7.45453,5.70709,5.23093,7.99782,7.82885,8.7235,6.44293,3.42632,3.53515,4.63569,4.69563,5.1233,5.52826,8.62472,5.12916,6.12388,5.78964,7.99596,5.80728,10.26198,7.03084,10.71226
SCC,9.96553,12.51026,5.0691,9.38051,7.15979,9.46432,4.94369,8.07129,3.79922,3.49147,4.34178,7.50374,5.06412,6.7904,6.28043,6.041,8.97143,6.63976,7.40422,6.94441,10.96823,8.33084,2.32582,5.39177,8.5902,3.42907,8.95564,7.65163,6.92942,5.37712,5.45086,9.58175,10.27242,8.85916,6.05267,2.9278,4.00548,5.22253,4.78939,5.37601,5.60829,9.3786,6.10177,6.2169,5.83743,8.8129,7.09021,9.62236,7.34005,10.70902
SCC,9.48338,12.49017,4.41718,8.92806,6.85966,6.04695,4.30878,9.36017,6.849,2.94141,4.38395,5.5429,5.43316,6.03503,5.53995,5.52753,9.05608,8.25715,8.34193,7.7711,11.92346,10.49742,2.80692,5.32943,9.11424,4.34713,8.14927,8.38072,6.97695,5.56122,5.38847,7.08038,8.29053,8.63967,7.26723,3.10018,3.02364,4.63924,4.78677,5.6417,5.40331,9.22104,4.63891,5.96612,5.26149,8.95607,6.113,9.56086,7.94777,8.24218
SCC,9.87955,12.27494,4.60928,9.37715,6.18953,7.14068,4.56273,7.57188,7.22215,3.31008,6.0534,4.76635,5.78379,6.65443,5.65817,3.50541,8.30868,4.33349,7.58716,7.29671,11.47956,9.07452,2.59915,5.66717,7.9437,3.85351,8.53815,7.44315,4.46518,5.38361,5.34691,7.36287,8.22186,8.21052,6.49558,2.59951,3.34904,6.2227,4.45892,5.33241,5.45105,8.35349,5.4501,6.59798,5.86,7.39153,5.52237,9.92975,7.71679,9.14199
SCC,9.33878,12.64977,4.1649,7.78231,7.61368,4.78002,4.91059,7.33991,4.91964,3.1688,4.73752,7.53541,6.22274,6.44981,5.65775,6.65943,10.33183,6.6654,8.60809,6.97336,11.05219,10.96069,2.6444,6.25797,8.40676,5.53729,7.08779,7.00341,7.02154,6.40234,5.98467,9.4191,8.65754,6.97751,6.17776,2.91799,6.35811,5.16277,4.67759,5.41285,5.78992,9.79889,5.10318,5.69251,6.55045,8.32436,6.37889,9.59945,7.45467,10.94544
SCC,10.05353,12.7285,4.14048,8.35944,7.40036,9.41418,4.93361,7.8204,3.59387,2.88866,4.44904,6.41771,6.63461,6.54174,5.0855,6.13004,10.13466,6.79608,6.65363,7.84469,11.42719,6.95683,2.69506,5.79784,9.3858,3.16907,8.27731,6.57426,3.94828,5.99247,5.61962,8.18369,10.9806,7.11217,6.26991,2.75271,3.74548,5.41334,4.56271,5.52058,5.76103,10.27137,4.3836,6.06752,6.19755,7.47318,6.39785,10.51424,6.63717,10.68669
SCC,9.8069,12.53779,4.0467,9.06844,7.33414,5.47095,5.23853,7.80742,5.23093,2.67454,3.97932,7.37287,5.68629,6.22611,5.85118,5.88905,9.2852,4.36453,6.8936,7.96422,12.09656,6.59011,2.55646,5.55743,8.69611,4.45035,7.96449,6.27206,5.12042,5.38126,5.11183,8.90063,7.75415,7.68412,6.87486,2.72365,3.48758,6.41841,4.52153,5.89472,5.71802,8.28456,4.70586,5.67339,5.44041,8.65219,6.10756,9.39423,9.95636,8.24189
SCC,9.10755,12.95961,4.24494,8.65267,6.98911,7.47688,4.59481,6.35149,3.13413,2.90312,4.29945,4.92869,5.51939,6.68217,5.61274,5.72476,10.63332,6.50496,7.53298,7.69585,11.89556,7.55995,2.47772,5.44588,8.52945,4.89185,8.32961,6.99894,6.67846,5.72249,5.48721,6.92463,10.30598,7.61884,6.39593,2.87031,3.47726,5.52565,4.74177,5.24232,5.71022,9.73769,4.59002,6.72531,5.57785,8.38147,5.89132,10.57876,6.06547,10.84373
SCC,9.42052,12.55506,4.01147,8.32865,7.06693,6.41475,5.06901,8.4358,3.66999,2.94201,4.30867,6.90756,5.94712,5.8006,6.09594,6.7346,9.22701,6.7699,7.36219,6.48477,11.6724,8.78933,2.25883,5.50859,8.5902,4.30338,8.33368,7.50812,7.65642,5.22278,5.66828,6.96197,6.59061,8.05818,6.73741,3.34386,4.12126,5.4964,4.64214,5.64868,5.30762,9.53992,5.35518,6.13535,4.67052,8.11807,4.743,9.31642,7.82242,8.97626
Healthy,8.91126,13.05944,4.84543,8.69505,6.86253,4.35952,4.2931,8.15625,5.28782,8.69106,3.87729,7.6944,6.00751,6.50598,4.22953,7.02616,10.53724,6.88619,7.73164,7.22677,11.42195,9.40301,2.37203,5.75492,8.34313,4.25177,6.87717,7.36769,8.20291,5.36954,5.13909,8.37969,7.96738,5.37656,6.50103,4.39448,5.22534,4.467,4.13612,5.73515,5.32172,8.51416,5.20006,5.91821,6.18222,7.79196,6.25252,9.74727,7.30995,11.17664
