Condition,PAMR1,CTSC,PHYHIP,CD24,WNT5A,RAB3B,WIF1,TNNC1,PARK7,MMP14,ARHGEF4,CFL1,SNRPD2,PTMA,DEFA1,ITGA2,EFNB3,FABP7,ZBTB48,TRO,MAP3K8,STAT5B,RAD51,FOXN3,CCNE2,SLC38A2,CTDP1,LSM6,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM2,ORM1,IKZF1,ARL4A,IFT27,TGFA,VIPR1,CLOCK,ITGB4
AK,4.22564,10.27901,6.25816,11.66426,9.4884,5.67987,5.4474,6.08294,11.0413,7.96612,7.18062,11.31645,12.0548,12.03486,4.72271,8.50431,5.57224,4.22541,6.03288,4.18333,7.51198,6.08072,4.36816,6.60347,4.84473,11.09416,7.17873,8.80739,3.49845,6.9843,6.48041,7.96808,6.05708,5.68857,6.98566,7.5942,6.66699,6.05536,5.96652,6.28511,4.8161,2.54423,4.46251,4.95381,9.94509,6.95313,7.09421,6.74819,8.04306,9.93074
AK,5.38984,10.32818,6.18618,11.06323,7.43106,5.39282,4.82244,6.00045,10.93718,7.08006,7.21227,11.19109,11.96626,12.18199,4.16528,8.05099,4.92773,11.04868,6.18913,3.89387,6.5687,5.8044,4.80719,6.18051,6.3417,10.78202,6.96101,8.61141,4.08248,7.7909,8.22655,7.74629,5.70218,5.71809,7.89431,6.83794,6.55336,6.55675,5.27606,5.20541,4.45339,2.28794,4.10919,5.23478,9.97772,7.47447,7.24366,6.44182,8.17871,9.00787
AK,4.83094,10.35952,5.09169,11.30686,8.81252,5.3168,7.36781,6.0195,10.80733,7.46887,7.44735,11.15487,12.02526,12.26412,4.24717,7.8233,5.11859,5.41059,5.96511,4.01699,7.31407,5.62688,4.55901,6.29948,4.90195,11.1583,7.00135,8.66599,3.77288,6.1324,6.8368,9.00595,5.21834,5.30748,8.73504,7.72184,6.12159,6.63255,5.31454,6.03807,4.84498,1.95656,3.91369,4.12796,9.89793,6.78211,7.32012,6.78307,8.02407,8.91504
AK,5.62381,10.49698,7.28802,10.46444,8.12465,6.14016,4.99039,5.77241,11.04097,7.23269,6.7129,11.15601,11.83573,12.18199,4.27376,7.81157,5.75321,8.78507,6.17816,3.61797,7.26282,5.60338,4.04398,6.12071,4.4779,10.41144,7.23228,9.07441,4.81753,7.08508,8.45928,8.35842,6.05214,5.51587,7.87041,7.63495,6.41435,6.21311,5.65522,7.05904,4.93022,2.6208,4.35447,4.9608,9.94386,7.83049,7.53892,6.49465,8.07685,8.12346
AK,6.75062,10.21045,6.95732,9.37708,7.147,5.87197,7.78045,6.36821,11.02585,7.89384,6.91722,10.91321,11.95056,12.18883,4.14826,8.2927,4.93807,4.82919,6.40345,4.01899,6.60325,5.83029,3.52887,6.98587,4.02766,11.14861,6.86461,8.49765,4.00532,6.76695,7.81227,9.42162,5.09455,4.71072,5.82417,7.95261,4.92802,6.44167,7.70204,8.14878,5.83408,2.01141,4.03651,4.77896,9.68956,7.38799,6.4662,7.09457,7.78461,8.82746
AK,3.93538,10.79181,5.50787,11.77753,9.14304,5.53828,7.27214,4.99801,11.28518,7.95008,7.37428,11.63415,12.0308,12.28752,4.14828,7.9932,5.24648,3.66122,6.75787,3.85737,7.23941,6.09311,4.5747,6.99358,5.01157,10.81988,7.20701,9.19387,4.56232,6.75908,6.87947,8.54651,5.58231,5.53364,9.02194,7.69354,6.16465,6.23503,3.32501,4.12445,3.99863,2.28483,4.36186,5.63507,9.02805,7.38639,7.31773,7.66952,8.10109,9.44546
AK,4.93598,10.66763,5.69382,10.65073,8.23491,6.08334,5.5799,6.33253,11.10709,7.33161,7.07701,11.22298,12.06663,12.19243,4.27801,7.80731,6.17084,10.03633,6.42968,3.65627,6.85105,5.58889,4.10667,6.72945,4.6241,10.46951,7.06621,9.04627,4.12815,7.61436,7.98968,8.99952,5.86223,6.20201,7.52716,8.11532,6.57886,6.11264,6.91397,7.87899,5.00762,2.12734,4.06017,5.41442,9.75613,7.73659,7.67621,7.17739,7.77159,8.55612
Healthy,6.44475,10.1567,9.28561,9.02899,6.60907,6.73987,10.4427,9.13379,10.38431,7.26417,6.7899,10.98352,11.99313,12.38334,4.2931,8.15625,5.28782,8.69106,6.50598,3.87729,7.6944,6.00751,4.22953,7.02616,4.35952,11.42195,6.86253,8.69505,4.25177,6.87717,7.36769,8.20291,5.36954,5.13909,8.37969,7.96738,5.37656,6.50103,4.39448,5.22534,4.467,2.37203,4.13612,4.84543,10.53724,7.22677,7.73164,6.88619,7.79196,8.5992
Healthy,7.46966,9.28663,9.17857,9.4556,6.32127,6.18782,9.73508,8.0805,10.65777,7.44621,7.13523,10.96445,11.92678,12.28733,6.64423,7.77072,5.88009,8.76886,6.02164,3.89558,7.46929,5.57277,5.13484,7.62619,4.91235,11.36155,7.04126,8.85072,3.58658,6.95562,7.10146,8.57319,5.52453,5.40511,8.64757,8.12995,6.54105,6.36888,5.94097,7.10146,4.5589,2.3737,4.10453,4.58614,10.41204,7.75881,7.26225,6.88136,7.7326,8.68795
Healthy,7.23088,9.53971,8.30307,9.91926,6.55629,6.18333,10.98798,8.24111,10.59126,7.57666,7.01613,10.84724,11.99944,12.20938,4.29159,7.91676,5.45688,8.41756,6.20846,3.77705,7.95913,5.81302,4.61311,6.70911,4.62449,11.13327,6.9154,8.71488,4.03213,6.49025,7.43911,9.26377,5.32706,5.19672,6.3238,8.23708,5.87626,6.28164,7.19833,7.56671,5.24521,2.13014,4.14234,4.86123,9.83886,7.58349,7.42259,7.20176,8.01439,8.76635
