Condition,GTSE1,CHTOP,EDNRB,DNAJC8,S100A11,HNRNPM,TUG1,TFG,GAPDH,RPS3A,EMP2,ITGA2,IKZF1,IFT27,LSM6,CTDP1,CCNE2,DEFA1,FABP7,EFNB3,ORM2,TRO,OAS2,MAP3K8,STAT5B,ZBTB48,ORM1,GNE,FOXN3,CFTR,IDUA,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,CSTA,ASNS,CENPE,AKAP10,GABRP,RAD51,ARL4A,AMMECR1,VIPR1,GNAZ
SCC,6.69368,11.46114,5.67914,8.85492,11.49542,9.48338,10.05974,9.03788,12.44487,13.45413,8.24218,9.36017,4.41718,7.7711,8.92806,6.85966,6.04695,4.30878,2.94141,6.849,2.80692,4.38395,6.41409,5.5429,5.43316,6.03503,4.78677,4.63924,5.52753,3.02364,5.606,5.32943,9.11424,4.34713,8.14927,8.38072,6.97695,5.56122,5.38847,7.08038,12.57286,8.29053,8.63967,7.26723,3.10018,5.53995,9.05608,9.22104,8.25715,5.78491
SCC,6.69355,12.25529,5.73449,9.10191,11.72982,9.87955,9.97034,9.97019,13.02218,13.38954,9.14199,7.57188,4.60928,7.29671,9.37715,6.18953,7.14068,4.56273,3.31008,7.22215,2.59915,6.0534,7.49375,4.76635,5.78379,6.65443,4.45892,6.2227,3.50541,3.34904,5.37265,5.66717,7.9437,3.85351,8.53815,7.44315,4.46518,5.38361,5.34691,7.36287,7.96066,8.22186,8.21052,6.49558,2.59951,5.65817,8.30868,8.35349,4.33349,7.33817
SCC,6.35807,11.34048,8.52232,8.50414,11.60567,9.33878,9.66722,9.30066,12.2954,13.23526,10.94544,7.33991,4.1649,6.97336,7.78231,7.61368,4.78002,4.91059,3.1688,4.91964,2.6444,4.73752,7.63061,7.53541,6.22274,6.44981,4.67759,5.16277,6.65943,6.35811,5.92173,6.25797,8.40676,5.53729,7.08779,7.00341,7.02154,6.40234,5.98467,9.4191,13.67734,8.65754,6.97751,6.17776,2.91799,5.65775,10.33183,9.79889,6.6654,6.15429
SCC,6.59176,11.39739,5.74898,9.84894,12.31013,10.05353,9.48742,9.76222,12.8211,13.33866,10.68669,7.8204,4.14048,7.84469,8.35944,7.40036,9.41418,4.93361,2.88866,3.59387,2.69506,4.44904,7.74763,6.41771,6.63461,6.54174,4.56271,5.41334,6.13004,3.74548,5.77272,5.79784,9.3858,3.16907,8.27731,6.57426,3.94828,5.99247,5.61962,8.18369,13.05354,10.9806,7.11217,6.26991,2.75271,5.0855,10.13466,10.27137,6.79608,6.07752
SCC,7.81078,11.42196,6.58275,8.77297,11.63265,9.8069,9.53924,9.48123,12.92811,13.39145,8.24189,7.80742,4.0467,7.96422,9.06844,7.33414,5.47095,5.23853,2.67454,5.23093,2.55646,3.97932,8.24972,7.37287,5.68629,6.22611,4.52153,6.41841,5.88905,3.48758,5.54417,5.55743,8.69611,4.45035,7.96449,6.27206,5.12042,5.38126,5.11183,8.90063,11.04549,7.75415,7.68412,6.87486,2.72365,5.85118,9.2852,8.28456,4.36453,5.57642
SCC,6.65903,11.87723,7.21576,8.69466,11.56561,9.10755,9.96567,9.23038,12.23907,13.43809,10.84373,6.35149,4.24494,7.69585,8.65267,6.98911,7.47688,4.59481,2.90312,3.13413,2.47772,4.29945,8.05768,4.92869,5.51939,6.68217,4.74177,5.52565,5.72476,3.47726,5.26495,5.44588,8.52945,4.89185,8.32961,6.99894,6.67846,5.72249,5.48721,6.92463,12.73015,10.30598,7.61884,6.39593,2.87031,5.61274,10.63332,9.73769,6.50496,5.954
SCC,6.11469,11.40039,6.66677,8.93482,11.80837,9.42052,9.6766,9.27676,12.73928,13.22353,8.97626,8.4358,4.01147,6.48477,8.32865,7.06693,6.41475,5.06901,2.94201,3.66999,2.25883,4.30867,8.57349,6.90756,5.94712,5.8006,4.64214,5.4964,6.7346,4.12126,5.61627,5.50859,8.5902,4.30338,8.33368,7.50812,7.65642,5.22278,5.66828,6.96197,12.67275,6.59061,8.05818,6.73741,3.34386,6.09594,9.22701,9.53992,6.7699,5.28142
AK,5.46715,11.32325,9.41508,8.54116,11.07511,9.1762,9.13515,8.81266,12.4202,13.44087,10.56349,8.30299,4.86891,7.73557,8.38293,7.37872,6.29029,4.92334,3.03477,4.72589,2.51447,4.19418,9.63522,7.01866,6.00354,6.67901,4.78298,4.41828,7.56903,3.91182,5.94934,5.54952,8.67257,4.828,8.02271,6.98714,9.14211,5.5365,5.68375,10.09909,12.81844,7.7835,7.25946,6.47659,3.30416,4.14878,10.57451,9.08542,7.03828,6.35765
AK,5.55587,11.2607,8.67717,8.56472,11.37293,9.13153,9.34971,8.80594,12.31522,13.23621,11.03296,7.94689,5.04388,7.32439,7.97803,7.35391,6.54434,4.64134,3.16259,5.59812,2.96157,4.28496,8.33453,7.26287,6.47322,6.27214,4.90941,5.01507,6.8557,4.29546,5.84313,5.8629,8.52332,6.39792,7.11504,7.45817,8.10849,6.04757,5.78454,8.38088,13.41113,7.70908,7.7814,6.51984,3.6174,5.09307,10.50142,9.41768,6.78027,6.21877
AK,4.17989,11.12149,8.88464,8.62772,11.19186,9.14198,9.42562,9.99219,11.57184,13.00024,9.70911,7.24119,4.34914,7.16152,8.45586,7.72558,3.54124,4.76697,3.28164,4.97673,2.30444,4.67705,5.52234,6.10646,5.7853,5.74389,4.53412,3.88371,6.7478,7.66458,5.38816,5.81869,9.14121,4.44576,5.53275,7.01811,7.08817,6.18296,5.42466,7.14208,14.05657,7.73165,5.46337,7.18444,2.78411,4.5122,9.88165,8.9433,7.52121,6.14556
AK,4.93329,11.2152,8.05451,8.23376,10.26406,8.70854,9.54851,8.76773,11.71222,13.6085,10.53718,6.87137,4.45339,8.0948,8.10193,6.57198,4.002,4.4953,11.06843,5.99642,2.33348,4.3491,3.97561,6.45531,5.50231,6.21319,4.69566,4.72969,6.12372,5.45941,5.40267,5.39133,9.06944,5.07458,7.03657,8.64138,5.83631,6.00567,5.23447,10.63484,10.07895,7.64283,6.00747,6.3863,3.07698,4.39726,10.65192,8.23358,6.66588,5.73202
AK,5.25302,11.45712,8.86397,8.50651,11.14442,9.10726,9.71341,8.87523,11.8342,13.16372,9.42352,8.32393,4.66437,6.79005,8.51595,6.53848,5.42936,5.17149,3.12463,5.52145,2.63381,4.00219,8.78553,6.79999,5.63768,5.30713,4.95856,4.99708,6.86625,4.31909,5.61591,5.67412,8.4286,5.44812,7.85137,7.76884,7.22201,5.41248,5.61962,6.36082,13.24998,8.26397,6.61391,6.58701,2.72919,5.05591,10.3632,9.16435,7.29177,5.79068
